0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
48;existentes/pagos;reforma;5951;"<100
";1<=X<4;2;feminino div/dep/cas;nao;2.0;22;nenhum;proria;1;qualificado;1;0;0;0
12;Critico-outros creditos;educacao;2096;"<100
";4<=X<7;2;masculino solteiro;nao;3.0;49;nenhum;proria;1;nao qualificado;2;0;0;1
42;existentes/pagos;moveis;7882;"<100
";4<=X<7;2;masculino solteiro;sim;4.0;45;nenhum;de graca;1;qualificado;2;0;0;1
24;Atrasos anteriores;veiculo novo;4870;"<100
";1<=X<4;3;masculino solteiro;nao;4.0;53;nenhum;de graca;2;qualificado;2;0;0;0
36;existentes/pagos;educacao;9055;"Desconhecido
";1<=X<4;2;masculino solteiro;nao;4.0;35;nenhum;de graca;1;nao qualificado;2;1;0;1
24;existentes/pagos;moveis;2835;500<=X<1000;>=7;3;masculino solteiro;nao;4.0;53;nenhum;proria;1;qualificado;1;0;0;1
12;existentes/pagos;reforma;3059;>=1000;4<=X<7;2;maculino div/dep;nao;4.0;61;nenhum;proria;1;nao qualificado;1;0;0;1
12;existentes/pagos;veiculo novo;1295;"<100
";<1;3;feminino div/dep/cas;nao;1.0;25;nenhum;alugada;1;qualificado;1;0;0;0
12;existentes/pagos;reforma;1567;"<100
";1<=X<4;1;feminino div/dep/cas;nao;1.0;22;nenhum;proria;1;qualificado;1;1;0;1
24;Critico-outros creditos;veiculo novo;1199;"<100
";>=7;4;masculino solteiro;nao;4.0;60;nenhum;proria;2;nao qualificado;1;0;0;0
24;existentes/pagos;reforma;1282;100<=X<500;1<=X<4;4;feminino div/dep/cas;nao;2.0;32;nenhum;proria;1;nao qualificado;1;0;0;0
24;Critico-outros creditos;reforma;2424;"Desconhecido
";>=7;4;masculino solteiro;nao;4.0;53;nenhum;proria;2;qualificado;1;0;0;1
30;sem creditos/todos pagos;abrir negocio;8072;"Desconhecido
";<1;2;masculino solteiro;nao;3.0;25;banco;proria;3;qualificado;1;0;0;1
24;existentes/pagos;veiculo usado;12579;"<100
";>=7;4;feminino div/dep/cas;nao;2.0;44;nenhum;de graca;1;altamente qualificado/empresario;1;1;0;0
24;existentes/pagos;reforma;3430;500<=X<1000;>=7;3;masculino solteiro;nao;2.0;31;nenhum;proria;1;qualificado;2;1;0;1
9;Critico-outros creditos;veiculo novo;2134;"<100
";1<=X<4;4;masculino solteiro;nao;4.0;48;nenhum;proria;3;qualificado;1;1;0;1
6;existentes/pagos;reforma;2647;500<=X<1000;1<=X<4;2;masculino solteiro;nao;3.0;44;nenhum;alugada;1;qualificado;2;0;0;1
10;Critico-outros creditos;veiculo novo;2241;"<100
";<1;1;masculino solteiro;nao;3.0;48;nenhum;alugada;2;nao qualificado;2;0;1;1
12;Critico-outros creditos;veiculo usado;1804;100<=X<500;<1;3;masculino solteiro;nao;4.0;44;nenhum;proria;1;qualificado;1;0;0;1
10;Critico-outros creditos;moveis;2069;"Desconhecido
";1<=X<4;2;masculino cas/viu;nao;1.0;26;nenhum;proria;2;qualificado;1;0;1;1
6;existentes/pagos;moveis;1374;"<100
";1<=X<4;1;masculino solteiro;nao;2.0;36;banco;proria;1;nao qualificado;1;1;0;1
6;sem creditos/todos pagos;reforma;426;"<100
";>=7;4;masculino cas/viu;nao;4.0;39;nenhum;proria;1;nao qualificado;1;0;0;1
12;todos pagos;reforma;409;>=1000;1<=X<4;3;feminino div/dep/cas;nao;3.0;42;nenhum;alugada;2;qualificado;1;0;0;1
